,Review,Departments
3164,purchased apple pencil may return window closed one month later pencil died unable charge august th ,Sales
3165,d disk broken ,Product Quality
3166,not working waste money,Product Quality
3167,shipping damage not care thought disproportionately would not really effect much literally trying days wedding one side fell apart reviewing did could not get time request guide supposed fix compensate student big loss ,"Customer Service, Shipping"
3168,no battery,General
3169,quality product wise good flies guess given cost acceptable giving low rating checked red colour available said ordered right away still received blue lying cheating not acceptable never buy axis not not reliable ,"Customer Service, Product Quality, Shipping, Sales"
3170,ana received parcel today not much excited soul cracked not much matter need replacement ,Shipping
3171,good size big ,General
3172,wrong colors,General
3173,good product sticky holds okay,Product Quality
3174,good product stuff not reliable thin ,Product Quality
3175,not disappointed ,General
3176,disappointing experience firstly plug not working used one plugs checked light is not even working properly quarter light working rest not afraid sellers banner,"Customer Service, Product Quality"
3177,poor service dark team much late delivery,"Customer Service, Shipping"
3178,sorry no light face stars ,General
3179,soon cheap,General
3180,issue god not working properly facing charging issue bad experience want exchange ,"Product Quality, Technical Support"
3181,product good however found bottle bit less filled checking electronic balance coming around grass my liquid plus bottle weight well packed properly secured ,Product Quality
3182,regular store like price justified even whole family customer pieces bad quality rough hoping discount,"Product Quality, Sales"
3183,selling rd class products show us never matches deliver us shame leaving muslin country commit fraud quality products ,Product Quality
3184,per quality price high packing not satisfactory ,"Product Quality, Sales"
3185,got face brand status saw reviews people saying thing careful ,"Customer Service, Marketing"
3186,expired product smells bad ,Product Quality
3187,can receive much time waiting,General
3188,costly toy who,Sales
3189,not bad quality not good,Product Quality
3190,without charging cable ear supporter packing also not proper,Customer Service
3191,received pencil connect immediately pad however pencil not charge checked see top loose tightened also disconnected bluetooth added axis not still no charge disappointed product ,"Product Quality, Shipping"
3192,good another heel inside total length cm heels satisfied better put something inside shoe packing ,General
3193,stupid cover patted bike bike still wet his not patted cover bike saving his not,General
3194,daughter likes apple pencil less year march dead battery life short can not replaced shame would not buying apple pencil nd generation replacement ,Sales
